,PERSUASION TAGS,,,,,,,,Total Persuasive,36,13
,,,,,,,,,,Persasive?,
POSTS,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
HTO1:HELLO,,,,,,,,,,0,0
PN60:HI <NAME>?,,,,,,,,,,0,0
HT01:YES.,,,,,,,,,,0,0
PN60:<NAME> AGAIN. HOW'S IT GOIN?,,,,,,,,,,0,0
HT01:S'ALRIGHT,,,,,,,,,,0,0
"PN60:OKAY, WE GOT A CALL OUT FOR <NAME>...UM...HE'S IN THE FIELD SOMEPLACE, WE'RE TRYING TO GET A HOLD OF HIM ... UM ... WE CHECKED ON <NAME>...HE'S IN THE CITY HERE BUT WE'RE NOT SURE EXACTLY WHERE RIGHT NOW BUT I EXPECT TO HEAR BACK ... WELL ...""PROBABLY WITHIN THE NEXT HALF HOUR OR SO EXACTLY WHERE HE IS.",,,,,,,,,,0,0
HTO1:THAT'S A LONG TIME.,,,,,,,,,,0,0
"PN60:WELL, IT'S NOT THAT LONG. (PAUSE) WHERE DO WE STAND NOW? WHAT DO YA...WHERE DO WE GO FROM HERE?""",,,,,,,,,,0,0
HT01:I HAVE...I HAVE TO GO OUT... I HAVE TO TERMINATE MYSELF. I INDUCE NO OTHER WAY OUT.,,,,,,,,,,0,0
PN60:WELL ... AS I SAID BEFORE I THINK YOU'RE SELLING YOURSELF SHORT ON THAT.,1,,,,,,,,justification,1,0
HTO1:NOBODY SELLS THEMSELF SHORT IF THEY HAVE TO PICK BETWEEN THE TWO.,,,,,,,,,,0,0
PN60:BUT YOU'RE MAKING ASSUMPTIONS THAT YOU ONLY HAVE A FEW CHOICES AND I DON'T THINK THAT'S NECESSARILY THE CASE.,1,,,,,,,,reason,1,0
HTO1:WELL IT ISN'T FAIR. I HAVE TO JOIN <NAME>.,,,,,,,,,,0,0
PN60:WELL AS I SAID BEFORE... I'M STILL TRYING TO CHECK ON ON THAT SITUATION TOO.,,,,,,,,,,0,0
HT01:NO SHE'S GONE I HAVE TO JOIN HER.,,,,,,,,,,0,0
PN60:WELL WE DON'T KNOW THAT FOR A FACT YET <NAME> ... YOU'RE MAKING AN ASSUMPTION.,1,,,,,,,,reason,1,0
"HT01:NO, I KNOW SHE'S GONE.""",,,,,,,,,,0,0
"PN60:THEN AGAIN THE PEOPLE THAT YOU'RE TRYING TO HELP, THEY NEED YOU.",1,,,,,,,,reason,1,0
HT01:THEY DON'T NEED ME',,,,,,,,,,0,0
PN60:WHO HAVE THEY GOT'?,,,,,,,,,,0,0
HT01:THEY'LL ....... THEY'LL DO IT FOR THEMSELVES NOW.,,,,,,,,,,0,0
PN60:WHO'S GOING TO DO IT FOR THEM?,,,,,,,,,,0,0
HT01:THEY WILL DO IT.,,,,,,,,,,0,0
PN60:THEY'RE JUST A...A BIG GROUP OF PEOPLE WITH NO LEADERSHIP AT ALL. YOU'RE THE ONLY HOPE THAT THEY'VE GOT.,,,,,1,,,,compliment,1,1
HTO1:HEY... [ ),,,,,,,,,,0,0
PN60:AT LEAST SOMEBODY THEY CAN LOOK TO SOMEBODY AND SAY OKAY HERE'S A PERSON THAT'S GONNA...PUSH US IN THE RIGHT DIRECTION AND ... AND REALLY FOCUS THINGS IN ON ... ON THE PROBLEM.,,,,,1,,,,compliment,1,1
HTO1:NOBODY DOES ANTHING FROM BEHIND BARS MAN.,,,,,,,,,,0,0
PN60:WE TALKED ABOUT THAT BEFORE AND I TOLD YOU...,,,,,,,,,,0,0
HT01:I TOLD YOU <NAME> HE THINKS HE'S GOD.,,,,,,,,,,0,0
PN60:BUT LOOK HOW STRONG HE IS EVEN THOUGH HE'S,,,,,,,,1,look at this other guy who can do it,1,1
"HTO1:HE ISN'T NOTHINN, THOSE OLD CREEPS HAVE BEEN UP TO VISIT ME... I DON'T CARE FOR 'EM, I TOLD THEM I DIDN'T CARE FOR THEIR BULLSHIT.""",,,,,,,,,,0,0
PN60:DO YOU BELONG TO A...A GROUP? OR DO YOU HAVE AN ORGANIZATION OF YOUR OWN?,,,,,,,,,,0,0
HTO1:YOU'LL FIND THAT OUT... I'VE MESSED THINGS UP.,,,,,,,,,,0,0
PN60:WELL I'D JUST LIKE TO KNOW... IT'S ... YOU KNOW AGAIN... I'M TRYING TO POINT OUT TO YOU THAT YOU'RE A STRONG PERSON ... YOU'RE AN EXTREMELY STRONG PERSON ... AND YOU'VE GOT A LOTTA...A LOT OF ROOM TO MOVE AND YOU'VE'-,,,,,1,,,,compliment,1,1
HT01:I'VE,,,,,,,,,,0,0
"PN60: GOT A LOT OF THINGS FOR PEOPLE THAT YOU HAVE A STRONG FEELING FOR.
",,,,,,,,,,0,0
HTO1:I'VE FOWLED IT UP.,,,,,,,,,,0,0
PN60:NOTHING ... THERE'S NOTHING THAT CAN'T BE CORRECTED ... NOTHING...,,,,,,,,,,0,0
HT01:I DID SOMETHING THAT THAT CANNOT BE CORRECTED.,,,,,,,,,,0,0
PN60:WELL AGAIN THAT'S JUST AN ASSUMPTION AND YOU'RE SELLING YOURSELF SHORT.,1,,,,,,,,reason,1,0
HTO1:JUST IN THE FUTURE TRYING TO KEEP ... FROM ... KEEP 'EMFROM GIVING PEOPLE THE WRONG KINDA DRUGS.,,,,,,,,,,0,0
PN60:WELL ... WHAT CAN WE DO IN THAT BESIDES THE DRUGS ... WHAT ...UH... WHAT'S THE ... THE ALTERNATIVE?,,,,,,,,,,0,0
"HT01:I HAVE NO ALTERNATIVE, YOU HAVE LOTS OF ALTERNATIVES.""",,,,,,,,,,0,0
PN60:DO YOU THINK THE DRUGS ARE THE WHOLE PROBLEM? IT'S JUST ...KINDA SHOULD DEAL WITHOUT ... DEAL WITH PEOPLE WITHOUT USING MEDICATION?,,,,,,,,,,0,0
"HT01:NO, I BELIVE THAT VALIUM WAS FINE... I WAS VERY CONCERNED THAT THEY'D TAKE VALIUM OFF THE MARKET. ONCE YOU BECOME HOOKED ON IT, YA KNOW I GOT INTO THIS WHOLE THING IN SAN FRANCISCO TO RAISE MONEY ...(SIGH)...FOR THE ... AND THEN IT...IN ORDER TO GET INTO IT YOU HAVE TO TAKE THE VALIUM. YOU'VE GOTTA DO SOMETHING SO YOU LOOK LIKE YOU NEED DISABILITY. AND THEN ALL OF A SUDDEN I REALIZE YOU'RE HOOKED ON IT. I DIDN'T KNOW THAT YOU WOULD BECOME HOOKED ON IT.",,,,,,,,,,0,0
PN60:DID YOU EVER TAKE ANYTHING ELSE <NAME>?,,,,,,,,,,0,0
HT01:I'VE TOOK ACID IN '68 AND COULDN'T DO ANTHING ELSE I WAS HALLUCINATING SO BAD. I TOOK ANGEL DUST IN SAN FRANCISCO UNBEKNOWENST TO MYSELF TWICE... PEOPLE...SNEAKED IT ON ME.,,,,,,,,,,0,0
PN60:HOW'D THAT EFFECT YA?,,,,,,,,,,0,0
HT01:BAD... VERY BAD.,,,,,,,,,,0,0
PN60:STILL GET FLASHBACKS FROM THAT?,,,,,,,,,,0,0
HT01:I DON'T THINK SO. I...YOU KNOW IT'S... I KNOW YOU PEOPLE WANNA WRITE ME OFF AS CRAZY BUT'-,,,,,,,,,,0,0
PN60:YOU KNOW...,,,,,,,,,,0,0
"HT01:'-I'M NOT THAT CRAZY, I MAY BE SLIGHTLY WARPED WHO KNOWS EVERYBODY'S WARPED TO A DEGREE, BUT I AM NOT THAT CRAZY.""",,,,,,,,,,0,0
PN60:BUT THOSE ARE THE EXACT THINGS... THAT-ARE ... REALLY YOUR STRONG SUIT. IF YOU COULD DEAL WITH ...YA KNOW CONVINCE PEOPLE THAT YOU'VE HAD SOME BAD TRIPS WITH ACID AND ANGEL DUST ... THE FAR REACHING EFFECTS OF THAT STILL AREN'T KNOWN. BUT IT ... THE FLASHBACKS AND THE PROBLEMS THAT OCCUR FROM THAT ARE HORRENDOUS. NOW --,,,,,1,,,,compliment,1,1
HT01:WHAT'S THAT GOT TO DO WITH ANYTHING I DONT UNDERSTAND WHAT YOU MEAN.,,,,,,,,,,0,0
PN60:BUT THAT'S'- YOU KNOW IF THAT'S HAVING AN EFFECT ON YOU NOW HOPEFULLY THEY CAN DEAL WITH THAT AND ANY PROBLEMS YOU'VE HAD UP TO THIS POINT YOU CAN ATTRIBUTE DIRECTLY TO THAT. YA KNOW SO WRITE THAT OFF... IT'S NOT A PROBLEM.,1,,,,,,,,reason,1,0
HT01:ARE YOU ... ARE YOU TRYING TO TELL ME THE BULLSHIT THAT I SHOULD TRY TO SAY THAT THE THINGS THAT HAPPENED TO <NAME> CAN BE ATTRIBUTEDTO DRUGS. IT'S BULLSHIT. I WILL NOT... I WILL NOT COP THAT. I PAY,,,,,,,,,,0,0
PN60:DO YOU KNOW THAT FOR A FACT?,,,,,,,,,,0,0
HTO1:I WILL PAY FOR IT I KNOW FOR A FACT MY HAND WILL PAY FOR THAT.,,,,,,,,,,0,0
"PN60:WELL, I DON'T KNOW... I MEAN...""",,,,,,,,,,0,0
HTO1:I CAN... I COULD NEVER...I CAN'T SLEEP ANYWHERE... I COULD NEVER SLEEP WITH THAT.,,,,,,,,,,0,0
–PN60: DO YOU HAVE ANY ANSWER FOR... FOR WHAT HAPPENED.,,,,,,,,,,0,0
"HTO1:I DON'T KNOW, I CAN'T REMEMBER.",,,,,,,,,,0,0
PN60:AS I SAY YA KNOW THERE HAS TO'-,,,,,,,,,,0,0
HTO1:MADNESS.,,,,,,,,,,0,0
PN60:'-BE REASONS WHEN YOU DON'T REMEMBER THINGS. AND THAT WOULD BE...HUH...THE ONLY LOGICAL REASON I CAN THINK OF.,,,,,,,,,,0,0
HTO1:I DON'T KNOW... I'M GONNA HAVE TO PAY FOR THAT. SUCH A GOOD PERSON.,,,,,,,,,,0,0
PN60:WHAT WAS UH...WHAT WERE YOU TRYING TO RAISE MONEY IN SAN FRANCISCO FOR?,,,,,,,,,,0,0
HTO1:(LAUGHS) THE PEOPLE THERE HAD DECIDED THE WAY TO BRING DOWN THE SYSTEM WAS TO LET THE SYSTEM SUPPORT ... THE REVOLUTION ITSELF PAY FOR THEY SUBSIDIZE EVERYTING ELSE LET 'EM SUBSIDIZE THE EQUIPMENT TO MANUFACTURE THINGS'-,,,,,,,,,,0,0
PN60:UH-HUH,,,,,,,,,,0,0
"AND THERE ARE A LOT OF PEOPLE THAT ARE MANUFACTURING THINGS.
",,,,,,,,,,0,0
PN60:WHY DID YOU GIVE UP ON THAT?,,,,,,,,,,0,0
HT01:I DIDN'T... I...I...LET MYSELF GET HEAD OVER... IN TO DEEP INTO THE.. .THE MEDICATION. I SHOULD... I'M...IT...HAS BAD SIDE EFFECTS. I DIDN'T THINK IT WOULD DO THAT TO ME.,,,,,,,,,,0,0
PN60:WHEN WERE YOU LAST IN SAN FRANCISCO?,,,,,,,,,,0,0
HTO1:SEVENTY-THREE AND SEVENTY-FOUR.,,,,,,,,,,0,0
PN60:YOU HAVEN'T BEEN BACK SINCE?,,,,,,,,,,0,0
HT01:NO.,,,,,,,,,,0,0
PN60:DO YOU STILL HAVE CONTACTS OUT THERE?,,,,,,,,,,0,0
HTO1:(LAUGHS THEN SIGHS) WHAT ... <NAME> IS NOT COM'IN THROUGH HUH?,,,,,,,,,,0,0
PN60:WELL I'VE GOT SOME PEOPLE TRYING TO FIND HIM ... HE ... HE CAME TO WORK TODAY BUT HE WENT OUT IN THE FIELD. UH...THEY'RE TRYING TO GET HIM BY RADIO IF THEY CAN'T DO THAT THEY THINK THEY KNOW WHERE HE WAS GOING AND THEY'RE GONNA TRY AND GO AND FIND HIM.,1,,,,,,,,persuade that they are trying to find this guy,1,0
HTO1:<NAME> CAN'T BE LOCATED'?,,,,,,,,,,0,0
PN60:WELL AGAIN ... HE'S NOT AT HOME ...UH...AN ASSOCIATE SAYS THAT HE STILL IS IN THE CITY BUT THEY'RE NOT SURE EXACTLY WHERE IN THE CITY HE MIGHT BE ... SO WE'RE TRYING TO TRACK THAT DOWN FOR YOU TOO.(PAUSE) UH...DO YOU REMEMBER A GUY NAMED <NAME>,1,,,,,,,,persuade that they are trying to find this guy,1,0
HT01:YEA ... YEA I REMEMBER <NAME>.,,,,,,,,,,0,0
PN60:YEA ... HE ... HE APPARENTLY UH CONTACTED SOMEBODY AND SAID THAT HE KNEW YOU PRETTY WELL TOO.,,,,,,,,,,0,0
HTO1:YEA HE KNOWS ME. HE AND UH <NAME>.,,,,,,,,,,0,0
"PN60:DID YOU UH WORK OUT AT THE """"Y"""" WITH THEM?""",,,,,,,,,,0,0
HT01:YEA I WORKED OUT THERE.,,,,,,,,,,0,0
PN60:YOU STILL GOINN DOWN THERE?,,,,,,,,,,0,0
"HTO1:NOW I SWITCHED """"Y""""S, I SWITCHED UP TO THE WILLIAMS.""",,,,,,,,,,0,0
PN60:HOW COME?,,,,,,,,,,0,0
HTO1:OH...(SIGH)...JUST DIFFERENT SCENERY.,,,,,,,,,,0,0
PN60:YOU ...UH...JUST A RUNNER OR...,,,,,,,,,,0,0
HT01:NOW I...UH...USE TO TEACH MARTIAL ARTS AND THEN I'-,,,,,,,,,,0,0
PN60:OH IS THAT RIGHT?,,,,,,,,,,0,0
"HTO1:'-GOT INTO BOXING FOR A WHILE TO GO ALONG WITH THE THE MARTIAL ARTS ... AND THEN I JUST SPARRED A LITTLE THIS SUMMER WITH SOME ITALIAN GUY, WENT BACK TO ITALY.""",,,,,,,,,,0,0
PN60:HOW ...UH...HOW DEEP ARE YOU INTO THE MARTIAL ARTS.,,,,,,,,,,0,0
HTO1:OH I'VE BEEN INTO IT SINCE THE 50'S.,,,,,,,,,,0,0
PN60:WHAT DEGREE ARE YA?,,,,,,,,,,0,0
HTO1:WELL THAT... I WAS A BLACK BELT IN SAN FRANCISCO BUT THAT DOESN'T MEAN ANYTHING IT'S ALL BULL. THE BEST IS IS BOXING AND AND WRESTLING AND JUDO.,,,,,,,,,,0,0
PN60:YOU HAD YOUR OWN CLASSES THOUGH.,,,,,,,,,,0,0
"HTO1:YEA I'VE TAUGHT IN SAN FRANCISCO...SAN FRANCISCO """"Y"""". BUT I...""",,,,,,,,,,0,0
PN60:STILL KEEPING UP ON THAT OR OR HAVE YOU'-,,,,,,,,,,0,0
HT01:OH YEAH.,,,,,,,,,,0,0
PN60:SWITHCHED COMPLETELY TO BOXING?,,,,,,,,,,0,0
HT01:WELL I...UH...KEEP ON THE MARTIAL ARTS THE MAMING TECHNIQUES BUT I I PREFER BOXING. YA KNOW THE WORK OUT ITSELF.,,,,,,,,,,0,0
PN60:IS THAT MORE OF A WORKOUT OR DO YOU HAVE TO BE IN BETTER CONDITION FOR THAT?,,,,,,,,,,0,0
HTO1:ITHINK YOU HAVE TO BE IN A HELL OF A LOT BETTER CONDITION. AND I THINK A LOT OF THE MOVES IN MARTIAL ARTS ARE STUPID LIKE KICKING SOMEBODY IN THE HEAD IS COMPARABLE TO REACHING DOWN AND PUNCHING SOMEBODY IN THE TOE. BRINGS ABOUT AS MUCH SENSE.,,,,,,,,,,0,0
PN60:WELL CAN A GOOD BOXER TAKE A GOOD KARATE MAN?,,,,,,,,,,0,0
HT01:EASY. EASY,,,,,,,,,,0,0
PN60:REALLY?,,,,,,,,,,0,0
HTO1:SURE.THAT'S WHY THEY ONLY ALLOW ... LIKE IF YOU WATCH THOSE SO CALLED KICK-BOXING MATCHES THEY MAKE UH THE GUYS THEY HAVE A MANDATORY NUMBER OF KICKS THEY HAVE TO KICK PER ROUND. THAT'S SO THE BOXERS DON'T KICK THEIR REAR.,,,,,,,,,,0,0
PN60:REALLY?,,,,,,,,,,0,0
HT01:YEA ...NO KARATE MAN ... SEE HE'S GOT GLOVESON ... YOU CAN'T ...YOU'RE.. YOU'RE MAIN THING WITH KARATE IS MAIMING. ANYTHING OTHER THAN THAT IT'S ... IT'S ... YOU'RE OPEN ... YOU'RE OPEN TO GET TATOOED BY A DOZEN ...A DOZEN HOOKS OR WHATEVER FROM THE OTHER GUY. KICKING WEARS YOU OUT.,,,,,,,,,,0,0
PN60:HOW MUCH DIFFERENCE IS THERE IN SIZE? CAN A BIG ...UH...A LITTLE KARATE GUY TAKE A A BIG BOXER ER?,,,,,,,,,,0,0
"HT01:NO, NO WAY.""",,,,,,,,,,0,0
PN60:CAN A BIG KARATE GUY TAKE A LITTLE BOXER?,,,,,,,,,,0,0
HT01:IN A STREET SITUATION I'D SAY YES...BUT IN A IN A RING... IT DEPENDS ON IF THE KARATE MAN HAD ANY UH BOXING TRAINING. IF HE HAD ENOUGH...,,,,,,,,,,0,0
PN60:WHAT IF HE'S JUST A GOOD STREET FIGHTER ... GUYS BEEN RAISED IN THE STREETS HIS WHOLE LIFE AND LEARNED TO FIGHT THERE?,,,,,,,,,,0,0
HT01:HE PROBABLY COULD...IT DEPENDS ON HOW MUCH HEART HE'S GOT. (PAUSE),,,,,,,,,,0,0
PN60:THAT'S INTERESTING.,,,,,,,,,,0,0
HTO1:WELL EVERYBODY HAS THEIR OPINION AND THAT'S MY OPINION ... BUT MOST PEOPLE WILL DISAGREE WITH ME NATURALLY.,,,,,,,,,,0,0
PN60:WHAT WOULD YOU BE RANKED IN THE BOXING? WHAT ... WHAT DIVISION OR WHAT WEIGHT?,,,,,,,,,,0,0
HT01:I'D BE HEAVY-WEIGHT.,,,,,,,,,,0,0
PN60:YOU EVER ... ARE YOU CONSIDERED AMATEUR OR...,,,,,,,,,,0,0
"HTO1:OR JUST AMATEUR, YEA I WAS TOO OLD, I'M FORTY-ONE, I DIDN'T START 'TILL I WAS ...UH...THIRTY-FIVE THEN THEY WOULDN'T LET ME SPAR BECAUSE I WAS ...UH...OR FIGHT BECAUSE I WAS TOO OLD. (LAUGHS)""",,,,,,,,,,0,0
PN60:REALLY?,,,,,,,,,,0,0
"HTO1:YEA. SO ...UH...I HAD TO HAVE GUYS AT THE """"Y"""" TRAIN ME ... THERE'S A LOT OF OLD TIMERS DOWN THERE AND A LOT OF NEW GUYS COM'IN OUT OF THE SERVICE SO I LEARNED JUST AS MUCH DOWN THERE AS I WOULD HAVE ... OTHERWISE.",,,,,,,,,,0,0
PN60:YOU LEARNED IT ORIGINALLY IN THE SERVICE?,,,,,,,,,,0,0
"HTO1:NO, THE Y-M-C-A...""",,,,,,,,,,0,0
